name,draft_age,draft_class,height,weight,school,position,url,ncaa_data,ncaa_awards,nba_data,nba_awards
Cam Whitmore,19,2024,6-7,230,Villanova,F,https://basketball.realgm.com/player/Cam-Whitmore/Summary/176080,"[{'season': '2022-23', 'team': 'Villanova', 'gp': 26, 'gs': 18, 'min': 27.3, 'ppg': 12.54, 'fgm': 4.69, 'fga': 9.81, 'fg%': 0.478, '3pm': 1.42, '3pa': 4.15, '3p%': 0.343, 'ftm': 1.73, 'fta': 2.46, 'ft%': 0.703, 'orb': 0.81, 'drb': 4.5, 'trb': 5.31, 'ast': 0.73, 'stl': 1.42, 'blk': 0.35, 'tov': 1.62, 'pf': 1.69, 'ows': 1.3, 'dws': 1.19, 'ws': 2.49, 'ts%': 0.571, 'efg%': 0.551, 'orb%': 4.02, 'drb%': 21.5, 'trb%': 12.94, 'ast%': 6.32, 'tov%': 12.83, 'stl%': 3.17, 'blk%': 1.56, 'usg%': 25.86, 'ortg': 105.3, 'drtg': 97.9, 'per': 21.2}]",[],[],[]
Cason Wallace,20,2024,6-3,195,Kentucky,G,https://basketball.realgm.com/player/Cason-Wallace/Summary/170045,"[{'season': '2022-23', 'team': 'Kentucky', 'gp': 32, 'gs': 31, 'min': 32.1, 'ppg': 11.72, 'fgm': 4.34, 'fga': 9.75, 'fg%': 0.446, '3pm': 1.38, '3pa': 3.97, '3p%': 0.346, 'ftm': 1.66, 'fta': 2.19, 'ft%': 0.757, 'orb': 0.94, 'drb': 2.78, 'trb': 3.72, 'ast': 4.25, 'stl': 1.97, 'blk': 0.47, 'tov': 2.09, 'pf': 2.44, 'ows': 2.38, 'dws': 1.65, 'ws': 4.03, 'ts%': 0.543, 'efg%': 0.516, 'orb%': 3.48, 'drb%': 10.8, 'trb%': 7.06, 'ast%': 24.32, 'tov%': 16.25, 'stl%': 3.65, 'blk%': 1.63, 'usg%': 19.99, 'ortg': 113.5, 'drtg': 98.5, 'per': 19.05}]",[],[],[]
Charles Bediako,22,2024,7-0,225,Alabama,FC,https://basketball.realgm.com/player/Charles-Bediako/Summary/119490,"[{'season': '2021-22', 'team': 'Alabama', 'gp': 33, 'gs': 30, 'min': 17.7, 'ppg': 6.7, 'fgm': 2.73, 'fga': 3.94, 'fg%': 0.692, '3pm': 0.0, '3pa': 0.03, '3p%': 0.0, 'ftm': 1.24, 'fta': 2.03, 'ft%': 0.612, 'orb': 1.97, 'drb': 2.33, 'trb': 4.3, 'ast': 0.67, 'stl': 0.64, 'blk': 1.55, 'tov': 0.94, 'pf': 2.61, 'ows': 1.75, 'dws': 0.79, 'ws': 2.54, 'ts%': 0.683, 'efg%': 0.692, 'orb%': 11.8, 'drb%': 14.06, 'trb%': 12.92, 'ast%': 7.06, 'tov%': 16.08, 'stl%': 1.97, 'blk%': 8.87, 'usg%': 15.2, 'ortg': 128.7, 'drtg': 100.6, 'per': 22.93}, {'season': '2022-23', 'team': 'Alabama', 'gp': 37, 'gs': 33, 'min': 20.7, 'ppg': 6.43, 'fgm': 2.92, 'fga': 4.43, 'fg%': 0.659, '3pm': 0.0, '3pa': 0.16, '3p%': 0.0, 'ftm': 0.59, 'fta': 1.68, 'ft%': 0.355, 'orb': 2.73, 'drb': 3.27, 'trb': 6.0, 'ast': 0.65, 'stl': 0.62, 'blk': 1.81, 'tov': 0.81, 'pf': 3.03, 'ows': 1.86, 'dws': 2.01, 'ws': 3.87, 'ts%': 0.615, 'efg%': 0.659, 'orb%': 14.62, 'drb%': 15.49, 'trb%': 15.08, 'ast%': 5.83, 'tov%': 13.43, 'stl%': 1.63, 'blk%': 7.88, 'usg%': 13.65, 'ortg': 124.9, 'drtg': 88.1, 'per': 20.78}]",[],[],[]
Chris Livingston,20,2024,6-6,220,Kentucky,F,https://basketball.realgm.com/player/Chris-Livingston/Summary/117541,"[{'season': '2022-23', 'team': 'Kentucky', 'gp': 34, 'gs': 25, 'min': 22.4, 'ppg': 6.32, 'fgm': 2.32, 'fga': 5.41, 'fg%': 0.429, '3pm': 0.53, '3pa': 1.74, '3p%': 0.305, 'ftm': 1.15, 'fta': 1.59, 'ft%': 0.722, 'orb': 1.12, 'drb': 3.06, 'trb': 4.18, 'ast': 0.71, 'stl': 0.44, 'blk': 0.35, 'tov': 0.91, 'pf': 1.68, 'ows': 1.02, 'dws': 0.95, 'ws': 1.97, 'ts%': 0.513, 'efg%': 0.478, 'orb%': 6.02, 'drb%': 16.82, 'trb%': 11.36, 'ast%': 5.47, 'tov%': 12.88, 'stl%': 1.17, 'blk%': 1.73, 'usg%': 15.76, 'ortg': 108.2, 'drtg': 102.2, 'per': 12.5}]",[],[],[]
Colby Jones,21,2024,6-6,207,Xavier,GF,https://basketball.realgm.com/player/Colby-Jones/Summary/148719,"[{'season': '2020-21', 'team': 'Xavier', 'gp': 15, 'gs': 11, 'min': 27.9, 'ppg': 7.67, 'fgm': 2.6, 'fga': 5.6, 'fg%': 0.464, '3pm': 0.6, '3pa': 1.8, '3p%': 0.333, 'ftm': 1.87, 'fta': 2.47, 'ft%': 0.757, 'orb': 1.53, 'drb': 3.27, 'trb': 4.8, 'ast': 2.93, 'stl': 1.27, 'blk': 0.27, 'tov': 1.73, 'pf': 2.33, 'ows': 0.73, 'dws': 0.37, 'ws': 1.09, 'ts%': 0.566, 'efg%': 0.518, 'orb%': 6.03, 'drb%': 13.18, 'trb%': 9.56, 'ast%': 18.12, 'tov%': 20.38, 'stl%': 2.62, 'blk%': 1.03, 'usg%': 15.41, 'ortg': 110.1, 'drtg': 105.0, 'per': 16.08}, {'season': '2021-22', 'team': 'Xavier', 'gp': 35, 'gs': 35, 'min': 33.4, 'ppg': 11.63, 'fgm': 4.09, 'fga': 8.46, 'fg%': 0.483, '3pm': 0.6, '3pa': 2.06, '3p%': 0.292, 'ftm': 2.86, 'fta': 4.2, 'ft%': 0.68, 'orb': 2.4, 'drb': 4.91, 'trb': 7.31, 'ast': 3.17, 'stl': 1.54, 'blk': 0.54, 'tov': 1.97, 'pf': 2.23, 'ows': 2.73, 'dws': 1.9, 'ws': 4.64, 'ts%': 0.556, 'efg%': 0.519, 'orb%': 8.21, 'drb%': 16.44, 'trb%': 12.37, 'ast%': 17.81, 'tov%': 15.87, 'stl%': 2.66, 'blk%': 1.73, 'usg%': 18.72, 'ortg': 113.9, 'drtg': 97.8, 'per': 19.83}, {'season': '2022-23', 'team': 'Xavier', 'gp': 36, 'gs': 35, 'min': 34.1, 'ppg': 15.0, 'fgm': 5.75, 'fga': 11.31, 'fg%': 0.509, '3pm': 1.25, '3pa': 3.31, '3p%': 0.378, 'ftm': 2.25, 'fta': 3.44, 'ft%': 0.653, 'orb': 1.25, 'drb': 4.47, 'trb': 5.72, 'ast': 4.39, 'stl': 1.31, 'blk': 0.56, 'tov': 2.33, 'pf': 2.14, 'ows': 3.22, 'dws': 1.54, 'ws': 4.76, 'ts%': 0.58, 'efg%': 0.564, 'orb%': 4.69, 'drb%': 15.13, 'trb%': 10.18, 'ast%': 22.3, 'tov%': 15.28, 'stl%': 2.11, 'blk%': 1.59, 'usg%': 21.89, 'ortg': 114.6, 'drtg': 102.1, 'per': 20.25}]",[],[],[]
Colin Castleton,23,2024,6-10,250,Florida,PF,https://basketball.realgm.com/player/Colin-Castleton/Summary/132158,"[{'season': '2018-19', 'team': 'Michigan', 'gp': 19, 'gs': 0, 'min': 3.5, 'ppg': 1.11, 'fgm': 0.47, 'fga': 1.16, 'fg%': 0.409, '3pm': 0.0, '3pa': 0.16, '3p%': 0.0, 'ftm': 0.16, 'fta': 0.47, 'ft%': 0.333, 'orb': 0.42, 'drb': 0.68, 'trb': 1.11, 'ast': 0.05, 'stl': 0.05, 'blk': 0.21, 'tov': 0.26, 'pf': 0.74, 'ows': 0.07, 'dws': 0.22, 'ws': 0.15, 'ts%': 0.4, 'efg%': 0.409, 'orb%': 13.92, 'drb%': 21.22, 'trb%': 17.68, 'ast%': 2.96, 'tov%': 15.99, 'stl%': 0.91, 'blk%': 6.11, 'usg%': 25.55, 'ortg': 82.0, 'drtg': 82.4, 'per': 10.03}, {'season': '2019-20', 'team': 'Michigan', 'gp': 25, 'gs': 0, 'min': 7.9, 'ppg': 3.12, 'fgm': 1.08, 'fga': 2.0, 'fg%': 0.54, '3pm': 0.0, '3pa': 0.16, '3p%': 0.0, 'ftm': 0.96, 'fta': 1.16, 'ft%': 0.828, 'orb': 0.72, 'drb': 1.68, 'trb': 2.4, 'ast': 0.32, 'stl': 0.12, 'blk': 0.52, 'tov': 0.52, 'pf': 0.76, 'ows': 0.57, 'dws': 0.42, 'ws': 1.0, 'ts%': 0.612, 'efg%': 0.54, 'orb%': 10.92, 'drb%': 23.55, 'trb%': 17.48, 'ast%': 7.17, 'tov%': 16.93, 'stl%': 0.87, 'blk%': 6.02, 'usg%': 20.04, 'ortg': 117.3, 'drtg': 91.6, 'per': 22.97}, {'season': '2020-21', 'team': 'Florida', 'gp': 24, 'gs': 21, 'min': 25.9, 'ppg': 12.38, 'fgm': 4.62, 'fga': 7.75, 'fg%': 0.597, '3pm': 0.0, '3pa': 0.04, '3p%': 0.0, 'ftm': 3.12, 'fta': 4.0, 'ft%': 0.781, 'orb': 2.46, 'drb': 3.92, 'trb': 6.38, 'ast': 1.08, 'stl': 0.54, 'blk': 2.25, 'tov': 1.92, 'pf': 2.17, 'ows': 2.22, 'dws': 0.98, 'ws': 3.2, 'ts%': 0.641, 'efg%': 0.597, 'orb%': 11.98, 'drb%': 16.83, 'trb%': 14.56, 'ast%': 8.79, 'tov%': 16.57, 'stl%': 1.18, 'blk%': 9.43, 'usg%': 22.41, 'ortg': 121.6, 'drtg': 97.9, 'per': 27.35}, {'season': '2021-22', 'team': 'Florida', 'gp': 28, 'gs': 28, 'min': 30.7, 'ppg': 16.18, 'fgm': 6.14, 'fga': 11.25, 'fg%': 0.546, '3pm': 0.0, '3pa': 0.32, '3p%': 0.0, 'ftm': 3.89, 'fta': 5.54, 'ft%': 0.703, 'orb': 3.11, 'drb': 5.93, 'trb': 9.04, 'ast': 1.54, 'stl': 0.86, 'blk': 2.21, 'tov': 2.18, 'pf': 2.0, 'ows': 2.92, 'dws': 1.76, 'ws': 4.68, 'ts%': 0.583, 'efg%': 0.546, 'orb%': 11.31, 'drb%': 22.63, 'trb%': 16.84, 'ast%': 11.94, 'tov%': 13.57, 'stl%': 1.65, 'blk%': 7.61, 'usg%': 26.48, 'ortg': 115.9, 'drtg': 93.5, 'per': 28.81}, {'season': '2022-23', 'team': 'Florida', 'gp': 26, 'gs': 26, 'min': 31.2, 'ppg': 15.96, 'fgm': 5.77, 'fga': 11.54, 'fg%': 0.5, '3pm': 0.08, '3pa': 0.58, '3p%': 0.133, 'ftm': 4.35, 'fta': 5.96, 'ft%': 0.729, 'orb': 1.81, 'drb': 5.92, 'trb': 7.73, 'ast': 2.73, 'stl': 0.92, 'blk': 3.0, 'tov': 2.54, 'pf': 2.12, 'ows': 2.0, 'dws': 1.98, 'ws': 3.97, 'ts%': 0.555, 'efg%': 0.503, 'orb%': 6.77, 'drb%': 20.51, 'trb%': 13.91, 'ast%': 19.76, 'tov%': 15.01, 'stl%': 1.68, 'blk%': 9.23, 'usg%': 27.77, 'ortg': 108.1, 'drtg': 90.0, 'per': 26.49}]",[],[],[]
D'Moi Hodge,25,2024,6-3,188,Missouri,F,https://basketball.realgm.com/player/DMoi-Hodge/Summary/150689,"[{'season': '2018-19', 'team': 'State College of Florida, Manatee-Sarasota', 'gp': 0, 'gs': 0, 'min': 0.0, 'ppg': 0.0, 'fgm': 0.0, 'fga': 0.0, 'fg%': 0.0, '3pm': 0.0, '3pa': 0.0, '3p%': 0.0, 'ftm': 0.0, 'fta': 0.0, 'ft%': 0.0, 'orb': 0.0, 'drb': 0.0, 'trb': 0.0, 'ast': 0.0, 'stl': 0.0, 'blk': 0.0, 'tov': 0.0, 'pf': 0.0, 'ows': 0.0, 'dws': 0.0, 'ws': 0.0, 'ts%': 0.0, 'efg%': 0.0, 'orb%': 0.0, 'drb%': 0.0, 'trb%': 0.0, 'ast%': 0.0, 'tov%': 0.0, 'stl%': 0.0, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 0.0, 'drtg': 0.0, 'per': 0.0}, {'season': '2019-20', 'team': 'State College of Florida, Manatee-Sarasota', 'gp': 32, 'gs': 32, 'min': 30.7, 'ppg': 25.16, 'fgm': 8.78, 'fga': 19.0, 'fg%': 0.462, '3pm': 3.44, '3pa': 9.22, '3p%': 0.373, 'ftm': 4.16, 'fta': 5.62, 'ft%': 0.739, 'orb': 1.59, 'drb': 5.94, 'trb': 7.53, 'ast': 5.12, 'stl': 2.69, 'blk': 2.12, 'tov': 2.94, 'pf': 2.5, 'ows': 0.0, 'dws': 0.0, 'ws': 0.0, 'ts%': 0.58, 'efg%': 0.553, 'orb%': 0.0, 'drb%': 0.0, 'trb%': 0.0, 'ast%': 0.0, 'tov%': 11.94, 'stl%': 0.0, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 0.0, 'drtg': 0.0, 'per': 0.0}, {'season': '2020-21', 'team': 'Cleveland State', 'gp': 26, 'gs': 25, 'min': 25.8, 'ppg': 10.5, 'fgm': 4.0, 'fga': 9.88, 'fg%': 0.405, '3pm': 1.58, '3pa': 5.27, '3p%': 0.299, 'ftm': 0.92, 'fta': 1.42, 'ft%': 0.649, 'orb': 0.69, 'drb': 3.0, 'trb': 3.69, 'ast': 1.54, 'stl': 1.73, 'blk': 0.65, 'tov': 1.5, 'pf': 2.35, 'ows': 0.77, 'dws': 1.04, 'ws': 1.81, 'ts%': 0.497, 'efg%': 0.484, 'orb%': 3.2, 'drb%': 13.53, 'trb%': 8.43, 'ast%': 12.41, 'tov%': 12.44, 'stl%': 3.95, 'blk%': 3.17, 'usg%': 24.04, 'ortg': 99.2, 'drtg': 98.2, 'per': 17.86}, {'season': '2021-22', 'team': 'Cleveland State', 'gp': 31, 'gs': 30, 'min': 28.6, 'ppg': 15.48, 'fgm': 5.61, 'fga': 11.61, 'fg%': 0.483, '3pm': 1.97, '3pa': 5.84, '3p%': 0.337, 'ftm': 2.29, 'fta': 3.03, 'ft%': 0.755, 'orb': 0.81, 'drb': 2.32, 'trb': 3.13, 'ast': 1.39, 'stl': 2.19, 'blk': 0.77, 'tov': 1.42, 'pf': 2.65, 'ows': 2.85, 'dws': 1.52, 'ws': 4.37, 'ts%': 0.593, 'efg%': 0.568, 'orb%': 3.5, 'drb%': 9.44, 'trb%': 6.56, 'ast%': 10.13, 'tov%': 9.81, 'stl%': 4.45, 'blk%': 3.41, 'usg%': 25.48, 'ortg': 118.3, 'drtg': 96.9, 'per': 24.31}, {'season': '2022-23', 'team': 'Missouri', 'gp': 35, 'gs': 33, 'min': 29.0, 'ppg': 14.69, 'fgm': 5.09, 'fga': 10.66, 'fg%': 0.477, '3pm': 2.86, '3pa': 7.14, '3p%': 0.4, 'ftm': 1.66, 'fta': 2.26, 'ft%': 0.734, 'orb': 0.71, 'drb': 3.14, 'trb': 3.86, 'ast': 1.6, 'stl': 2.6, 'blk': 0.49, 'tov': 0.77, 'pf': 2.46, 'ows': 3.6, 'dws': 1.45, 'ws': 5.05, 'ts%': 0.626, 'efg%': 0.611, 'orb%': 3.06, 'drb%': 13.39, 'trb%': 8.24, 'ast%': 10.48, 'tov%': 6.17, 'stl%': 5.08, 'blk%': 2.12, 'usg%': 22.03, 'ortg': 126.4, 'drtg': 100.4, 'per': 25.75}, {'season': 'CAREER', 'team': 'NCAA DI', 'gp': 92, 'gs': 88, 'min': 28.0, 'ppg': 13.77, 'fgm': 4.96, 'fga': 10.76, 'fg%': 0.461, '3pm': 2.2, '3pa': 6.17, '3p%': 0.356, 'ftm': 1.66, 'fta': 2.28, 'ft%': 0.729, 'orb': 0.74, 'drb': 2.83, 'trb': 3.57, 'ast': 1.51, 'stl': 2.22, 'blk': 0.63, 'tov': 1.2, 'pf': 2.49, 'ows': 5.0, 'dws': 3.0, 'ws': 10.0, 'ts%': 0.581, 'efg%': 0.563, 'orb%': 3.0, 'drb%': 11.65, 'trb%': 7.33, 'ast%': 10.57, 'tov%': 9.17, 'stl%': 4.1, 'blk%': 2.62, 'usg%': 23.58, 'ortg': 115.7, 'drtg': 98.1, 'per': 22.4}]",[],[],[]
Dariq Whitehead,19,2024,6-6,220,Duke,F,https://basketball.realgm.com/player/Dariq-Whitehead/Summary/143334,"[{'season': '2022-23', 'team': 'Duke', 'gp': 28, 'gs': 10, 'min': 20.6, 'ppg': 8.25, 'fgm': 2.96, 'fga': 7.04, 'fg%': 0.421, '3pm': 1.5, '3pa': 3.54, '3p%': 0.424, 'ftm': 0.82, 'fta': 1.04, 'ft%': 0.793, 'orb': 0.43, 'drb': 1.96, 'trb': 2.39, 'ast': 0.96, 'stl': 0.75, 'blk': 0.21, 'tov': 1.39, 'pf': 1.5, 'ows': 0.8, 'dws': 0.84, 'ws': 1.64, 'ts%': 0.548, 'efg%': 0.528, 'orb%': 2.63, 'drb%': 11.11, 'trb%': 7.04, 'ast%': 9.41, 'tov%': 15.61, 'stl%': 2.23, 'blk%': 1.13, 'usg%': 22.81, 'ortg': 103.3, 'drtg': 100.0, 'per': 14.77}]",[],[],[]
Dereck Lively II,20,2024,7-1,230,Duke,C,https://basketball.realgm.com/player/Dereck-Lively-II/Summary/150098,"[{'season': '2022-23', 'team': 'Duke', 'gp': 34, 'gs': 24, 'min': 20.6, 'ppg': 5.21, 'fgm': 2.26, 'fga': 3.44, 'fg%': 0.658, '3pm': 0.06, '3pa': 0.38, '3p%': 0.154, 'ftm': 0.62, 'fta': 1.03, 'ft%': 0.6, 'orb': 2.12, 'drb': 3.29, 'trb': 5.41, 'ast': 1.09, 'stl': 0.5, 'blk': 2.41, 'tov': 0.68, 'pf': 2.71, 'ows': 1.88, 'dws': 1.71, 'ws': 3.59, 'ts%': 0.662, 'efg%': 0.667, 'orb%': 12.67, 'drb%': 18.26, 'trb%': 15.58, 'ast%': 9.84, 'tov%': 14.68, 'stl%': 1.47, 'blk%': 12.54, 'usg%': 11.58, 'ortg': 134.0, 'drtg': 89.9, 'per': 22.87}]",[],[],[]
Drew Timme,23,2024,6-10,235,Gonzaga,F,https://basketball.realgm.com/player/Drew-Timme/Summary/117478,"[{'season': '2019-20', 'team': 'Gonzaga', 'gp': 33, 'gs': 4, 'min': 20.4, 'ppg': 9.79, 'fgm': 3.88, 'fga': 6.27, 'fg%': 0.618, '3pm': 0.03, '3pa': 0.09, '3p%': 0.333, 'ftm': 2.0, 'fta': 3.27, 'ft%': 0.611, 'orb': 2.0, 'drb': 3.36, 'trb': 5.36, 'ast': 1.3, 'stl': 0.52, 'blk': 0.94, 'tov': 1.21, 'pf': 2.76, 'ows': 2.61, 'dws': 1.39, 'ws': 4.0, 'ts%': 0.625, 'efg%': 0.621, 'orb%': 11.7, 'drb%': 17.8, 'trb%': 14.9, 'ast%': 10.6, 'tov%': 13.41, 'stl%': 1.39, 'blk%': 4.55, 'usg%': 21.1, 'ortg': 125.2, 'drtg': 92.2, 'per': 25.22}, {'season': '2020-21', 'team': 'Gonzaga', 'gp': 32, 'gs': 32, 'min': 28.1, 'ppg': 19.0, 'fgm': 7.41, 'fga': 11.31, 'fg%': 0.655, '3pm': 0.19, '3pa': 0.66, '3p%': 0.286, 'ftm': 4.0, 'fta': 5.75, 'ft%': 0.696, 'orb': 2.25, 'drb': 4.75, 'trb': 7.0, 'ast': 2.34, 'stl': 0.69, 'blk': 0.72, 'tov': 1.78, 'pf': 2.34, 'ows': 5.09, 'dws': 1.76, 'ws': 6.85, 'ts%': 0.676, 'efg%': 0.663, 'orb%': 10.35, 'drb%': 18.55, 'trb%': 14.79, 'ast%': 14.41, 'tov%': 11.26, 'stl%': 1.31, 'blk%': 2.51, 'usg%': 26.88, 'ortg': 133.4, 'drtg': 94.0, 'per': 32.89}, {'season': '2021-22', 'team': 'Gonzaga', 'gp': 32, 'gs': 32, 'min': 28.1, 'ppg': 18.44, 'fgm': 7.25, 'fga': 12.38, 'fg%': 0.586, '3pm': 0.25, '3pa': 0.88, '3p%': 0.286, 'ftm': 3.69, 'fta': 5.44, 'ft%': 0.678, 'orb': 1.84, 'drb': 4.91, 'trb': 6.75, 'ast': 2.75, 'stl': 0.25, 'blk': 0.78, 'tov': 2.47, 'pf': 1.59, 'ows': 3.76, 'dws': 1.93, 'ws': 5.69, 'ts%': 0.616, 'efg%': 0.596, 'orb%': 7.9, 'drb%': 16.59, 'trb%': 12.76, 'ast%': 17.5, 'tov%': 14.17, 'stl%': 0.48, 'blk%': 2.57, 'usg%': 29.76, 'ortg': 118.9, 'drtg': 92.4, 'per': 27.8}, {'season': '2022-23', 'team': 'Gonzaga', 'gp': 37, 'gs': 35, 'min': 31.6, 'ppg': 21.24, 'fgm': 8.46, 'fga': 13.73, 'fg%': 0.616, '3pm': 0.11, '3pa': 0.65, '3p%': 0.167, 'ftm': 4.22, 'fta': 6.68, 'ft%': 0.632, 'orb': 2.57, 'drb': 4.97, 'trb': 7.54, 'ast': 3.22, 'stl': 0.62, 'blk': 0.97, 'tov': 2.59, 'pf': 2.24, 'ows': 5.78, 'dws': 1.46, 'ws': 7.24, 'ts%': 0.628, 'efg%': 0.62, 'orb%': 10.18, 'drb%': 18.27, 'trb%': 14.38, 'ast%': 19.1, 'tov%': 13.31, 'stl%': 1.09, 'blk%': 3.34, 'usg%': 30.13, 'ortg': 124.0, 'drtg': 102.2, 'per': 31.28}]",[],[],[]
Emoni Bates,20,2024,6-8,170,Eastern Michigan,SF,https://basketball.realgm.com/player/Emoni-Bates/Summary/117537,"[{'season': '2021-22', 'team': 'Memphis', 'gp': 18, 'gs': 13, 'min': 23.3, 'ppg': 9.67, 'fgm': 3.28, 'fga': 8.5, 'fg%': 0.386, '3pm': 1.39, '3pa': 4.22, '3p%': 0.329, 'ftm': 1.72, 'fta': 2.67, 'ft%': 0.646, 'orb': 0.83, 'drb': 2.44, 'trb': 3.28, 'ast': 1.28, 'stl': 0.56, 'blk': 0.33, 'tov': 2.33, 'pf': 1.83, 'ows': 0.2, 'dws': 0.53, 'ws': 0.73, 'ts%': 0.495, 'efg%': 0.467, 'orb%': 4.04, 'drb%': 10.79, 'trb%': 7.58, 'ast%': 10.24, 'tov%': 19.28, 'stl%': 1.32, 'blk%': 1.64, 'usg%': 24.31, 'ortg': 93.3, 'drtg': 101.6, 'per': 11.12}, {'season': '2022-23', 'team': 'Eastern Michigan', 'gp': 30, 'gs': 30, 'min': 33.5, 'ppg': 19.23, 'fgm': 6.43, 'fga': 15.9, 'fg%': 0.405, '3pm': 2.53, '3pa': 7.67, '3p%': 0.33, 'ftm': 3.83, 'fta': 4.9, 'ft%': 0.782, 'orb': 0.67, 'drb': 5.1, 'trb': 5.77, 'ast': 1.4, 'stl': 0.73, 'blk': 0.53, 'tov': 2.53, 'pf': 2.27, 'ows': 1.76, 'dws': 0.12, 'ws': 1.88, 'ts%': 0.528, 'efg%': 0.484, 'orb%': 2.44, 'drb%': 19.29, 'trb%': 10.73, 'ast%': 9.36, 'tov%': 12.2, 'stl%': 1.24, 'blk%': 1.83, 'usg%': 31.58, 'ortg': 101.8, 'drtg': 113.9, 'per': 19.5}]",[],[],[]
Gradey Dick,20,2024,6-6,200,Kansas,GF,https://basketball.realgm.com/player/Gradey-Dick/Summary/151289,"[{'season': '2022-23', 'team': 'Kansas', 'gp': 36, 'gs': 34, 'min': 32.8, 'ppg': 14.08, 'fgm': 4.83, 'fga': 10.94, 'fg%': 0.442, '3pm': 2.31, '3pa': 5.72, '3p%': 0.403, 'ftm': 2.11, 'fta': 2.47, 'ft%': 0.854, 'orb': 1.11, 'drb': 4.03, 'trb': 5.14, 'ast': 1.67, 'stl': 1.44, 'blk': 0.25, 'tov': 1.25, 'pf': 2.11, 'ows': 2.93, 'dws': 2.05, 'ws': 4.98, 'ts%': 0.581, 'efg%': 0.547, 'orb%': 4.21, 'drb%': 14.34, 'trb%': 9.43, 'ast%': 9.35, 'tov%': 9.35, 'stl%': 2.48, 'blk%': 0.81, 'usg%': 20.52, 'ortg': 116.7, 'drtg': 97.1, 'per': 18.85}]",[],[],[]
