name,draft_age,draft_class,height,weight,school,position,url,ncaa_data,ncaa_awards,nba_data,nba_awards
Adam Flagler,24,2024,6-3,180,Baylor,G,https://basketball.realgm.com/player/Adam-Flagler/Summary/140202,"[{'season': '2018-19', 'team': 'Presbyterian', 'gp': 36, 'gs': 36, 'min': 30.7, 'ppg': 15.86, 'fgm': 5.44, 'fga': 12.42, 'fg%': 0.438, '3pm': 3.0, '3pa': 7.78, '3p%': 0.386, 'ftm': 1.97, 'fta': 2.36, 'ft%': 0.835, 'orb': 0.75, 'drb': 2.64, 'trb': 3.39, 'ast': 1.25, 'stl': 0.78, 'blk': 0.25, 'tov': 1.17, 'pf': 1.69, 'ows': 2.99, 'dws': 0.98, 'ws': 3.97, 'ts%': 0.586, 'efg%': 0.559, 'orb%': 2.76, 'drb%': 9.96, 'trb%': 6.31, 'ast%': 8.29, 'tov%': 7.93, 'stl%': 1.46, 'blk%': 0.98, 'usg%': 24.48, 'ortg': 115.6, 'drtg': 106.6, 'per': 18.44}, {'season': '2019-20', 'team': 'N/A', 'gp': 0, 'gs': 0, 'min': 0.0, 'ppg': 0.0, 'fgm': 0.0, 'fga': 0.0, 'fg%': 0.0, '3pm': 0.0, '3pa': 0.0, '3p%': 0.0, 'ftm': 0.0, 'fta': 0.0, 'ft%': 0.0, 'orb': 0.0, 'drb': 0.0, 'trb': 0.0, 'ast': 0.0, 'stl': 0.0, 'blk': 0.0, 'tov': 0.0, 'pf': 0.0, 'ows': 0.0, 'dws': 0.0, 'ws': 0.0, 'ts%': 0.0, 'efg%': 0.0, 'orb%': 0.0, 'drb%': 0.0, 'trb%': 0.0, 'ast%': 0.0, 'tov%': 0.0, 'stl%': 0.0, 'blk%': 0.0, 'usg%': 0.0, 'ortg': 0.0, 'drtg': 0.0, 'per': 0.0}, {'season': '2020-21', 'team': 'Baylor', 'gp': 28, 'gs': 0, 'min': 22.8, 'ppg': 9.11, 'fgm': 3.0, 'fga': 6.61, 'fg%': 0.454, '3pm': 1.64, '3pa': 3.79, '3p%': 0.434, 'ftm': 1.46, 'fta': 1.68, 'ft%': 0.872, 'orb': 0.89, 'drb': 1.39, 'trb': 2.29, 'ast': 1.43, 'stl': 0.86, 'blk': 0.04, 'tov': 0.75, 'pf': 1.54, 'ows': 2.22, 'dws': 0.9, 'ws': 3.12, 'ts%': 0.615, 'efg%': 0.578, 'orb%': 4.6, 'drb%': 7.48, 'trb%': 6.01, 'ast%': 10.15, 'tov%': 9.2, 'stl%': 2.17, 'blk%': 0.18, 'usg%': 17.5, 'ortg': 132.2, 'drtg': 99.5, 'per': 19.2}, {'season': '2021-22', 'team': 'Baylor', 'gp': 31, 'gs': 31, 'min': 30.7, 'ppg': 13.77, 'fgm': 5.03, 'fga': 11.48, 'fg%': 0.438, '3pm': 2.42, '3pa': 6.26, '3p%': 0.387, 'ftm': 1.29, 'fta': 1.74, 'ft%': 0.741, 'orb': 0.61, 'drb': 1.58, 'trb': 2.19, 'ast': 3.03, 'stl': 1.1, 'blk': 0.13, 'tov': 1.68, 'pf': 1.52, 'ows': 2.66, 'dws': 1.52, 'ws': 4.19, 'ts%': 0.559, 'efg%': 0.544, 'orb%': 2.25, 'drb%': 6.0, 'trb%': 4.09, 'ast%': 18.37, 'tov%': 11.99, 'stl%': 2.08, 'blk%': 0.48, 'usg%': 22.26, 'ortg': 116.4, 'drtg': 98.1, 'per': 18.17}, {'season': '2022-23', 'team': 'Baylor', 'gp': 32, 'gs': 32, 'min': 33.6, 'ppg': 15.59, 'fgm': 5.25, 'fga': 12.31, 'fg%': 0.426, '3pm': 2.5, '3pa': 6.25, '3p%': 0.4, 'ftm': 2.59, 'fta': 3.28, 'ft%': 0.79, 'orb': 0.31, 'drb': 2.09, 'trb': 2.41, 'ast': 4.59, 'stl': 1.22, 'blk': 0.06, 'tov': 1.69, 'pf': 2.0, 'ows': 3.79, 'dws': 0.8, 'ws': 4.59, 'ts%': 0.562, 'efg%': 0.528, 'orb%': 1.18, 'drb%': 8.27, 'trb%': 4.64, 'ast%': 27.76, 'tov%': 10.85, 'stl%': 2.13, 'blk%': 0.21, 'usg%': 23.36, 'ortg': 121.7, 'drtg': 107.4, 'per': 20.2}]",[],[],[]
Adama Sanogo,22,2024,6-9,245,UConn,PF,https://basketball.realgm.com/player/Adama-Sanogo/Summary/137251,"[{'season': '2020-21', 'team': 'UConn', 'gp': 23, 'gs': 20, 'min': 16.9, 'ppg': 7.35, 'fgm': 3.35, 'fga': 6.04, 'fg%': 0.554, '3pm': 0.0, '3pa': 0.0, '3p%': 0.0, 'ftm': 0.65, 'fta': 1.13, 'ft%': 0.577, 'orb': 1.52, 'drb': 3.26, 'trb': 4.78, 'ast': 0.57, 'stl': 0.39, 'blk': 0.91, 'tov': 1.35, 'pf': 2.83, 'ows': 0.71, 'dws': 0.8, 'ws': 1.5, 'ts%': 0.558, 'efg%': 0.554, 'orb%': 9.9, 'drb%': 22.19, 'trb%': 15.9, 'ast%': 7.37, 'tov%': 17.0, 'stl%': 1.4, 'blk%': 6.02, 'usg%': 23.45, 'ortg': 104.8, 'drtg': 93.0, 'per': 21.33}, {'season': '2021-22', 'team': 'UConn', 'gp': 29, 'gs': 28, 'min': 29.2, 'ppg': 14.76, 'fgm': 6.17, 'fga': 12.24, 'fg%': 0.504, '3pm': 0.0, '3pa': 0.03, '3p%': 0.0, 'ftm': 2.41, 'fta': 3.52, 'ft%': 0.686, 'orb': 3.62, 'drb': 5.21, 'trb': 8.83, 'ast': 1.0, 'stl': 0.86, 'blk': 1.9, 'tov': 2.34, 'pf': 2.93, 'ows': 2.11, 'dws': 1.8, 'ws': 3.91, 'ts%': 0.53, 'efg%': 0.504, 'orb%': 14.0, 'drb%': 19.8, 'trb%': 16.92, 'ast%': 7.56, 'tov%': 14.42, 'stl%': 1.76, 'blk%': 6.9, 'usg%': 27.62, 'ortg': 108.2, 'drtg': 92.7, 'per': 24.91}, {'season': '2022-23', 'team': 'UConn', 'gp': 39, 'gs': 39, 'min': 26.6, 'ppg': 17.21, 'fgm': 7.1, 'fga': 11.72, 'fg%': 0.606, '3pm': 0.49, '3pa': 1.33, '3p%': 0.365, 'ftm': 2.51, 'fta': 3.28, 'ft%': 0.766, 'orb': 2.62, 'drb': 5.05, 'trb': 7.67, 'ast': 1.31, 'stl': 0.69, 'blk': 0.82, 'tov': 1.92, 'pf': 2.67, 'ows': 4.6, 'dws': 2.37, 'ws': 6.97, 'ts%': 0.648, 'efg%': 0.627, 'orb%': 12.1, 'drb%': 22.44, 'trb%': 17.37, 'ast%': 11.54, 'tov%': 12.65, 'stl%': 1.51, 'blk%': 3.23, 'usg%': 28.17, 'ortg': 125.2, 'drtg': 91.5, 'per': 30.62}]",[],[],[]
Amari Bailey,20,2024,6-3,185,UCLA,G,https://basketball.realgm.com/player/Amari-Bailey/Summary/142391,"[{'season': '2022-23', 'team': 'UCLA', 'gp': 30, 'gs': 29, 'min': 26.8, 'ppg': 11.17, 'fgm': 4.5, 'fga': 9.1, 'fg%': 0.495, '3pm': 0.7, '3pa': 1.8, '3p%': 0.389, 'ftm': 1.47, 'fta': 2.1, 'ft%': 0.698, 'orb': 0.83, 'drb': 2.97, 'trb': 3.8, 'ast': 2.17, 'stl': 1.13, 'blk': 0.3, 'tov': 2.43, 'pf': 1.7, 'ows': 1.04, 'dws': 1.78, 'ws': 2.82, 'ts%': 0.553, 'efg%': 0.533, 'orb%': 3.88, 'drb%': 13.71, 'trb%': 8.82, 'ast%': 14.63, 'tov%': 19.42, 'stl%': 2.49, 'blk%': 1.35, 'usg%': 23.83, 'ortg': 101.1, 'drtg': 92.3, 'per': 16.9}]",[],[],[]
Anthony Black,20,2024,6-7,200,Arkansas,G,https://basketball.realgm.com/player/Anthony-Black/Summary/176057,"[{'season': '2022-23', 'team': 'Arkansas', 'gp': 36, 'gs': 35, 'min': 34.3, 'ppg': 12.78, 'fgm': 4.14, 'fga': 9.14, 'fg%': 0.453, '3pm': 0.78, '3pa': 2.58, '3p%': 0.301, 'ftm': 3.72, 'fta': 5.28, 'ft%': 0.705, 'orb': 1.25, 'drb': 3.81, 'trb': 5.06, 'ast': 3.92, 'stl': 2.06, 'blk': 0.61, 'tov': 3.03, 'pf': 2.58, 'ows': 1.98, 'dws': 2.39, 'ws': 4.37, 'ts%': 0.549, 'efg%': 0.495, 'orb%': 4.57, 'drb%': 13.5, 'trb%': 9.1, 'ast%': 20.93, 'tov%': 20.63, 'stl%': 3.37, 'blk%': 1.85, 'usg%': 21.29, 'ortg': 104.8, 'drtg': 95.1, 'per': 17.89}]",[],[],[]
Azuolas Tubelis,22,2024,6-10,245,Arizona,F,https://basketball.realgm.com/player/Azuolas-Tubelis/Summary/120959,"[{'season': '2020-21', 'team': 'Arizona', 'gp': 26, 'gs': 18, 'min': 26.5, 'ppg': 12.19, 'fgm': 4.42, 'fga': 8.88, 'fg%': 0.498, '3pm': 0.5, '3pa': 1.62, '3p%': 0.31, 'ftm': 2.85, 'fta': 4.12, 'ft%': 0.692, 'orb': 2.58, 'drb': 4.5, 'trb': 7.08, 'ast': 1.23, 'stl': 0.58, 'blk': 0.62, 'tov': 2.35, 'pf': 2.5, 'ows': 1.5, 'dws': 1.02, 'ws': 2.52, 'ts%': 0.562, 'efg%': 0.526, 'orb%': 11.45, 'drb%': 19.4, 'trb%': 15.49, 'ast%': 9.86, 'tov%': 17.79, 'stl%': 1.27, 'blk%': 2.61, 'usg%': 24.82, 'ortg': 106.9, 'drtg': 98.8, 'per': 20.36}, {'season': '2021-22', 'team': 'Arizona', 'gp': 36, 'gs': 35, 'min': 24.5, 'ppg': 13.86, 'fgm': 5.44, 'fga': 10.08, 'fg%': 0.54, '3pm': 0.28, '3pa': 1.06, '3p%': 0.263, 'ftm': 2.69, 'fta': 4.03, 'ft%': 0.669, 'orb': 1.94, 'drb': 4.28, 'trb': 6.22, 'ast': 2.25, 'stl': 1.08, 'blk': 0.69, 'tov': 2.14, 'pf': 1.92, 'ows': 2.71, 'dws': 2.05, 'ws': 4.76, 'ts%': 0.578, 'efg%': 0.554, 'orb%': 9.54, 'drb%': 16.85, 'trb%': 13.6, 'ast%': 17.36, 'tov%': 15.13, 'stl%': 2.43, 'blk%': 2.71, 'usg%': 27.28, 'ortg': 113.1, 'drtg': 90.7, 'per': 24.87}, {'season': '2022-23', 'team': 'Arizona', 'gp': 35, 'gs': 32, 'min': 30.1, 'ppg': 19.83, 'fgm': 7.83, 'fga': 13.74, 'fg%': 0.57, '3pm': 0.29, '3pa': 0.91, '3p%': 0.313, 'ftm': 3.89, 'fta': 5.09, 'ft%': 0.764, 'orb': 2.66, 'drb': 6.49, 'trb': 9.14, 'ast': 2.0, 'stl': 1.14, 'blk': 0.69, 'tov': 2.4, 'pf': 2.8, 'ows': 4.18, 'dws': 2.2, 'ws': 6.38, 'ts%': 0.614, 'efg%': 0.58, 'orb%': 11.11, 'drb%': 22.83, 'trb%': 17.48, 'ast%': 14.1, 'tov%': 12.93, 'stl%': 2.07, 'blk%': 2.35, 'usg%': 29.87, 'ortg': 118.9, 'drtg': 93.6, 'per': 28.79}]",[],[],[]
Ben Sheppard,22,2024,6-6,190,Belmont,G,https://basketball.realgm.com/player/Ben-Sheppard/Summary/151867,"[{'season': '2019-20', 'team': 'Belmont', 'gp': 32, 'gs': 0, 'min': 10.8, 'ppg': 2.94, 'fgm': 1.0, 'fga': 2.59, 'fg%': 0.386, '3pm': 0.38, '3pa': 1.34, '3p%': 0.279, 'ftm': 0.56, 'fta': 0.84, 'ft%': 0.667, 'orb': 0.34, 'drb': 1.88, 'trb': 2.22, 'ast': 0.56, 'stl': 0.41, 'blk': 0.09, 'tov': 0.75, 'pf': 1.53, 'ows': 0.08, 'dws': 0.74, 'ws': 0.82, 'ts%': 0.49, 'efg%': 0.458, 'orb%': 3.63, 'drb%': 17.98, 'trb%': 11.15, 'ast%': 8.01, 'tov%': 20.03, 'stl%': 2.07, 'blk%': 0.87, 'usg%': 17.08, 'ortg': 90.8, 'drtg': 91.4, 'per': 9.74}, {'season': '2020-21', 'team': 'Belmont', 'gp': 27, 'gs': 26, 'min': 27.8, 'ppg': 10.48, 'fgm': 3.96, 'fga': 8.37, 'fg%': 0.473, '3pm': 1.41, '3pa': 4.3, '3p%': 0.328, 'ftm': 1.15, 'fta': 1.67, 'ft%': 0.689, 'orb': 1.07, 'drb': 3.3, 'trb': 4.37, 'ast': 2.22, 'stl': 1.04, 'blk': 0.15, 'tov': 1.44, 'pf': 2.44, 'ows': 1.56, 'dws': 1.21, 'ws': 2.77, 'ts%': 0.572, 'efg%': 0.558, 'orb%': 4.58, 'drb%': 12.9, 'trb%': 8.92, 'ast%': 13.35, 'tov%': 13.62, 'stl%': 2.08, 'blk%': 0.56, 'usg%': 18.88, 'ortg': 111.7, 'drtg': 97.6, 'per': 16.83}, {'season': '2021-22', 'team': 'Belmont', 'gp': 33, 'gs': 33, 'min': 31.4, 'ppg': 16.24, 'fgm': 5.79, 'fga': 11.67, 'fg%': 0.496, '3pm': 2.18, '3pa': 5.88, '3p%': 0.371, 'ftm': 2.48, 'fta': 3.45, 'ft%': 0.719, 'orb': 0.85, 'drb': 3.06, 'trb': 3.91, 'ast': 1.64, 'stl': 1.24, 'blk': 0.18, 'tov': 1.33, 'pf': 1.94, 'ows': 3.2, 'dws': 1.45, 'ws': 4.64, 'ts%': 0.61, 'efg%': 0.59, 'orb%': 3.45, 'drb%': 11.07, 'trb%': 7.48, 'ast%': 9.73, 'tov%': 9.11, 'stl%': 2.26, 'blk%': 0.66, 'usg%': 23.87, 'ortg': 118.2, 'drtg': 100.1, 'per': 21.5}, {'season': '2022-23', 'team': 'Belmont', 'gp': 32, 'gs': 32, 'min': 34.3, 'ppg': 18.84, 'fgm': 6.75, 'fga': 14.22, 'fg%': 0.475, '3pm': 2.5, '3pa': 6.03, '3p%': 0.415, 'ftm': 2.84, 'fta': 4.16, 'ft%': 0.684, 'orb': 0.62, 'drb': 4.59, 'trb': 5.22, 'ast': 2.91, 'stl': 1.38, 'blk': 0.16, 'tov': 2.19, 'pf': 2.06, 'ows': 3.21, 'dws': 1.32, 'ws': 4.53, 'ts%': 0.582, 'efg%': 0.563, 'orb%': 2.28, 'drb%': 15.9, 'trb%': 9.27, 'ast%': 16.96, 'tov%': 11.9, 'stl%': 2.3, 'blk%': 0.47, 'usg%': 27.76, 'ortg': 112.7, 'drtg': 102.7, 'per': 22.59}]",[],[],[]
Bilal Coulibaly,20,2024,6-7,200,Real Madrid (Spain),F,https://basketball.realgm.com/player/Bilal-Coulibaly/Summary/175550,"[{'season': '2021-22', 'team': 'Espoirs Boulogne-Levallois', 'gp': 26, 'gs': 15, 'min': 27.3, 'ppg': 11.77, 'fgm': 4.54, 'fga': 10.0, 'fg%': 0.454, '3pm': 0.69, '3pa': 3.31, '3p%': 0.209, 'ftm': 2.0, 'fta': 2.96, 'ft%': 0.675, 'orb': 1.5, 'drb': 3.19, 'trb': 4.69, 'ast': 1.85, 'stl': 1.62, 'blk': 1.0, 'tov': 1.77, 'pf': 2.15, 'ows': 0.769, 'dws': 2.16, 'ws': 2.26, 'ts%': 15.0, 'efg%': 0.521, 'orb%': 0.488, 'drb%': 6.39, 'trb%': 15.17, 'ast%': 10.54, 'tov%': 13.09, 'stl%': 13.53, 'blk%': 3.24, 'usg%': 3.96, 'ortg': 1.18, 'drtg': 106.3, 'per': 84.1}, {'season': '2022-23 *', 'team': 'All Teams', 'gp': 53, 'gs': 34, 'min': 24.0, 'ppg': 10.87, 'fgm': 3.91, 'fga': 7.42, 'fg%': 0.527, '3pm': 0.75, '3pa': 2.25, '3p%': 0.336, 'ftm': 2.3, 'fta': 3.26, 'ft%': 0.705, 'orb': 1.19, 'drb': 2.92, 'trb': 4.11, 'ast': 1.43, 'stl': 1.4, 'blk': 0.47, 'tov': 1.62, 'pf': 1.77, 'ows': 0.642, 'dws': 2.8, 'ws': 2.73, 'ts%': 34.0, 'efg%': 0.614, 'orb%': 0.578, 'drb%': 6.31, 'trb%': 13.67, 'ast%': 10.22, 'tov%': 10.46, 'stl%': 15.49, 'blk%': 3.05, 'usg%': 1.97, 'ortg': 1.47, 'drtg': 114.4, 'per': 100.7}, {'season': '2022-23 *', 'team': 'Boulogne-Levallois', 'gp': 36, 'gs': 17, 'min': 20.2, 'ppg': 6.08, 'fgm': 2.25, 'fga': 4.28, 'fg%': 0.526, '3pm': 0.5, '3pa': 1.39, '3p%': 0.36, 'ftm': 1.08, 'fta': 1.78, 'ft%': 0.609, 'orb': 0.89, 'drb': 2.17, 'trb': 3.06, 'ast': 1.0, 'stl': 0.89, 'blk': 0.17, 'tov': 1.08, 'pf': 1.78, 'ows': 0.611, 'dws': 0.52, 'ws': 1.19, 'ts%': 17.0, 'efg%': 0.601, 'orb%': 0.584, 'drb%': 5.87, 'trb%': 11.99, 'ast%': 9.2, 'tov%': 7.81, 'stl%': 17.63, 'blk%': 2.33, 'usg%': 0.83, 'ortg': 1.42, 'drtg': 110.3, 'per': 109.1}, {'season': '2022-23 *', 'team': 'Espoirs Boulogne-Levallois', 'gp': 16, 'gs': 16, 'min': 32.1, 'ppg': 21.88, 'fgm': 7.69, 'fga': 14.5, 'fg%': 0.53, '3pm': 1.38, '3pa': 4.25, '3p%': 0.324, 'ftm': 5.12, 'fta': 6.69, 'ft%': 0.766, 'orb': 1.75, 'drb': 4.69, 'trb': 6.44, 'ast': 2.5, 'stl': 2.56, 'blk': 1.19, 'tov': 2.81, 'pf': 1.62, 'ows': 0.75, 'dws': 3.06, 'ws': 1.76, 'ts%': 16.0, 'efg%': 0.627, 'orb%': 0.578, 'drb%': 6.37, 'trb%': 16.55, 'ast%': 11.54, 'tov%': 16.16, 'stl%': 13.89, 'blk%': 4.11, 'usg%': 3.65, 'ortg': 1.51, 'drtg': 120.3, 'per': 84.8}]",[],[],[]
Brandin Podziemski,21,2024,6-4,205,Santa Clara,G,https://basketball.realgm.com/player/Brandin-Podziemski/Summary/175953,"[{'season': '2021-22', 'team': 'Illinois', 'gp': 15, 'gs': 0, 'min': 4.4, 'ppg': 1.47, 'fgm': 0.53, 'fga': 1.27, 'fg%': 0.421, '3pm': 0.2, '3pa': 0.87, '3p%': 0.231, 'ftm': 0.2, 'fta': 0.27, 'ft%': 0.75, 'orb': 0.13, 'drb': 0.87, 'trb': 1.0, 'ast': 0.33, 'stl': 0.07, 'blk': 0.0, 'tov': 0.27, 'pf': 0.47, 'ows': 0.1, 'dws': 0.11, 'ws': 0.21, 'ts%': 0.526, 'efg%': 0.5, 'orb%': 3.51, 'drb%': 21.61, 'trb%': 12.81, 'ast%': 13.33, 'tov%': 16.06, 'stl%': 0.88, 'blk%': 0.0, 'usg%': 18.75, 'ortg': 106.0, 'drtg': 96.9, 'per': 13.35}, {'season': '2022-23', 'team': 'Santa Clara', 'gp': 32, 'gs': 32, 'min': 36.0, 'ppg': 19.88, 'fgm': 6.94, 'fga': 14.38, 'fg%': 0.483, '3pm': 2.53, '3pa': 5.78, '3p%': 0.438, 'ftm': 3.47, 'fta': 4.5, 'ft%': 0.771, 'orb': 1.78, 'drb': 6.97, 'trb': 8.75, 'ast': 3.66, 'stl': 1.78, 'blk': 0.47, 'tov': 2.28, 'pf': 1.91, 'ows': 4.44, 'dws': 1.97, 'ws': 6.41, 'ts%': 0.602, 'efg%': 0.571, 'orb%': 5.88, 'drb%': 22.53, 'trb%': 14.3, 'ast%': 20.67, 'tov%': 12.14, 'stl%': 2.77, 'blk%': 1.39, 'usg%': 25.68, 'ortg': 121.6, 'drtg': 97.5, 'per': 27.21}]",[],[],[]
Brandon Miller,21,2024,6-7,200,Alabama,F,https://basketball.realgm.com/player/Brandon-Miller/Summary/151234,"[{'season': '2022-23', 'team': 'Alabama', 'gp': 37, 'gs': 37, 'min': 32.7, 'ppg': 18.81, 'fgm': 6.0, 'fga': 13.95, 'fg%': 0.43, '3pm': 2.86, '3pa': 7.46, '3p%': 0.384, 'ftm': 3.95, 'fta': 4.59, 'ft%': 0.859, 'orb': 2.05, 'drb': 6.19, 'trb': 8.24, 'ast': 2.05, 'stl': 0.89, 'blk': 0.86, 'tov': 2.19, 'pf': 2.35, 'ows': 4.3, 'dws': 2.89, 'ws': 7.19, 'ts%': 0.583, 'efg%': 0.533, 'orb%': 6.98, 'drb%': 18.6, 'trb%': 13.15, 'ast%': 12.72, 'tov%': 11.95, 'stl%': 1.48, 'blk%': 2.39, 'usg%': 26.27, 'ortg': 119.7, 'drtg': 90.5, 'per': 24.07}]",[],[],[]
Brice Sensabaugh,20,2024,6-5,235,Ohio State,F,https://basketball.realgm.com/player/Brice-Sensabaugh/Summary/182894,"[{'season': '2022-23', 'team': 'Ohio State', 'gp': 33, 'gs': 22, 'min': 24.4, 'ppg': 16.27, 'fgm': 5.97, 'fga': 12.42, 'fg%': 0.48, '3pm': 1.82, '3pa': 4.48, '3p%': 0.405, 'ftm': 2.52, 'fta': 3.03, 'ft%': 0.83, 'orb': 1.27, 'drb': 4.09, 'trb': 5.36, 'ast': 1.15, 'stl': 0.55, 'blk': 0.39, 'tov': 2.03, 'pf': 2.48, 'ows': 2.99, 'dws': 1.04, 'ws': 4.03, 'ts%': 0.587, 'efg%': 0.554, 'orb%': 6.61, 'drb%': 20.11, 'trb%': 13.55, 'ast%': 10.85, 'tov%': 12.77, 'stl%': 1.33, 'blk%': 1.76, 'usg%': 34.04, 'ortg': 113.9, 'drtg': 101.8, 'per': 27.13}]",[],[],[]
